16
-1116.16790455236         -5710.11311829787	4
-3130.62991772521         -5710.87674959161	4
-519.225257239719         -5917.08065125884	1
-896.96699378363         -4320.86947397049	3
97.3070100969421         -7042.51806887182	3
395.321478608525         -6846.58113527431	1
-2082.14004367245         -6348.93250387243	1
-1829.10140626735         -4806.50393769318	2
-1338.33560007585         -5055.92355799705	3
222.186882599837         -5834.30622285713	4
-394.159743049536         -6896.14230408451	3
-2081.86840916419         -5165.65622928935	3
-566.46137426112         -5216.95505205144	3
-2529.72817935791         -5340.23453517846	3
-1296.9422092192         -5462.85569476641	4
-1891.80828464879         -5084.71055482486	2
