60	
         -3272.63417571064         -5758.95740374181	1
         -90.1746220469485         -7605.15672043534	1
          -688.63515388369          -7598.6789609032	1
         -572.821256735772         -5179.74592419971	1
         -2429.51469777854         -5739.12717209875	2
         -810.513459803623         -7670.80838661258	4
         -1754.27699956261         -5542.33885935224	2
         -469.346438243844         -6682.41123816302	1
         -965.536070801003         -6671.19150325073	1
         -1050.87260063895         -5639.13808123253	2
         -1157.62472574793         -5507.75154721366	1
         -109.701347618887         -5752.64700788408	1
         -763.402165200301          -6304.2433855044	2
          -129.91681712386         -7505.42284482035	1
          -88.556137939947         -5795.63561416006	2
          -1676.5760195509         -5362.28895901001	3
         -2115.09778396853         -5258.96616273203	4
         -110.199141023111         -6217.93118706584	1
          -395.18517294841         -4616.23231249473	1
         -455.389677467343         -5116.43213602729	3
         -2391.96526646119         -5124.87157588024	1
          -1471.8813211955         -4355.61087197668	1
           -1420.747207182         -5953.63265367727	4
         -80.9206308105843          -5815.5331852813	1
         -1958.54945514973         -4951.69150911074	2
         -1945.35894009736         -5197.84649980959	3
         -1262.97942460347         -5654.78040315768	4
         -1875.45174491047         -4785.71303458632	2
         -2350.10192049765         -5475.70160369293	1
         -1098.17680998164         -4803.24752836436	3
         -3401.79158371747         -5922.01992555581	2
         -3198.00938174671         -6059.38812588227	2
         -1242.84630008645         -6068.01538473996	2
         -1017.11599895869          -4864.7662520391	2
         -2711.63260496022         -5294.84086114389	4
         -160.446444250324         -6268.20973580128	4
         -700.469362534804         -4206.02356543876	3
         -1772.14271676574         -4841.12476407027	2
         -1445.18443085686         -5816.06538562832	2
         -910.231929406474         -4256.47511965585	4
         -470.188600514304         -6987.18409557608	4
         -468.637435875051         -4867.13984795347	2
         -1666.36088920858         -6514.89216591695	2
         -1280.47136685124         -6207.08455077086	4
         -1139.50504437311         -6192.97544127446	4
         -168.793969795051         -5533.08653218901	3
          -942.79062767637         -5745.21781936512	4
         -328.030609862939         -6879.93203515276	3
         -532.039429591701         -4565.83228108683	4
         -906.426432691191         -7011.28935516381	4
         -1209.26970934739         -5555.46792349574	4
         -856.463614663687          -4664.1625399326	4
          -523.25160088737         -6903.33937252407	3
         -1235.88159528278         -5989.37518612264	3
         -797.928042193094         -7787.62608683293	3
         -3190.68673119183         -5631.14964653391	3
         -105.661446660322         -5977.88437447979	3
         -971.594741758383          -5533.5944960505	3
         -1185.53918427757          -5028.0693368212	3
          -378.43949084555         -7020.88036325983	3
