16
112.475947523857         -7672.15684681979	1	1
-363.627317576778         -6454.09733047225	3	2
-538.34641656415         -6587.40936375829	4	1
-1652.12475833064         -5070.61904995594	1	2
-728.594398554576         -7228.31163835957	2	1
-2315.99638792656         -4938.19494210061	1	3
-1099.83877527526          -4737.7616741841	2	3
-480.801884916447         -5050.77545260097	4	3
-1408.46064249715         -4573.85041456582	2	3
-269.679661595421         -6094.06208280996	4	2
-89.5163369481372         -5646.62654120475	4	1
-281.240888568315         -7641.39128104865	2	1
-2605.89911665117         -5793.30049880722	1	2
261.546121988023         -6865.72195977927	3	2
158.80383913733         -6482.83458491157 	2	3
-1281.31483280817         -5561.49017196203	4	1
