60		
         -2179.44768568006         -5301.56340562233	1	1
         -1271.61546524682         -5414.18006647035	2	3
         -2207.02256007578         -6175.37632402272	2	1
         -910.742524459113         -8003.16770797105	1	2
          112.475947523857         -7672.15684681979	3	3
         -700.565396300011         -5615.75628820866	4	2
         -2005.29568890891         -5581.45536950883	3	2
         -1738.29200522468         -4487.96285916048	1	2
         -363.627317576778         -6454.09733047225	2	2
          -538.34641656415         -6587.40936375829	4	2
         -648.392937293183         -7792.80964676627	4	1
         -1664.30982574569         -6585.98030340509	2	1
         -1652.12475833064         -5070.61904995594	1	3
         -2492.67195552049         -4894.52608409115	2	3
         -728.594398554576         -7228.31163835957	2	2
         -987.548788689314           -5788.799832808	3	2
         -377.460339888165         -7439.09088554254	3	2
          110.389215072632         -6137.15734810546	1	1
         -994.537652271842         -4783.54154320703	3	1
         -1344.79539989954         -4601.16355006664	4	3
          -1224.9098753183         -5756.95043699281	2	2
         -1758.61557759767         -6416.94914168466	3	1
         -1364.21981265819         -6897.16232189484	3	3
         -2315.99638792656         -4938.19494210061	4	1
         -1099.83877527526          -4737.7616741841	4	1
         -2322.05877269101         -4550.09362187227	2	3
         -38.6347953980711          -7421.9079135588	2	2
         -1110.23864805146         -5452.96578612456	1	1
         -2777.98396411256         -5453.79277604734	1	3
         -927.096236593828         -6085.31428043028	3	3
         -420.995571775253         -4761.08260636338	1	1
         -376.748626762832         -6210.50638764758	1	2
         -961.179031738403         -6096.36611121054	3	1
         -1004.71160540156         -7506.89948324658	2	2
         -480.801884916447         -5050.77545260097	3	1
         -1408.46064249715         -4573.85041456582	2	3
          -1484.4977171016         -6771.53768025406	2	3
         -269.679661595421         -6094.06208280996	1	1
         -1430.30831260234         -4916.31896126352	1	2
         -89.5163369481372         -5646.62654120475	3	3
         -480.426432195598         -6218.38367621591	3	3
         -39.3567075843411         -5573.36576988445	4	1
          -983.62385423018         -4339.70993993883	1	1
         -943.828661491425         -7497.80501180745	4	3
         -281.240888568315         -7641.39128104865	4	1
         -403.552773320936         -5897.82271668964	1	3
         -2605.89911665117         -5793.30049880722	4	3
          261.546121988023         -6865.72195977927	1	1
         -2315.13233151348         -5193.58605224181	1	3
           158.80383913733         -6482.83458491157	1	3
         -258.181433129594          -6578.4537838387	4	3
          -998.64362761052         -4780.00503456466	1	2
         -2274.22585926995         -4605.17855073688	1	2
         -1281.31483280817         -5561.49017196203	1	3
         -3354.59228603271         -6289.58423877231	1	1
         -2415.86701630396         -5501.61560355409	1	2
          76.9137368647924         -7148.17990579796	1	2
         -585.214232450358         -6562.74040918058	1	3
            375.1016163273         -7083.23435891334	4	1
         -1886.52963170039         -5511.07130239788	1	1
